month,day,frequency
1,1,128202
1,2,135332
1,3,143698
1,4,146382
1,5,147361
1,6,149809
1,7,151008
1,8,147904
1,9,145231
1,10,146506
1,11,149177
1,12,150060
1,13,150989
1,14,154143
1,15,151440
1,16,149254
1,17,148621
1,18,150331
1,19,151411
1,20,152653
1,21,153262
1,22,151719
1,23,149380
1,24,148722
1,25,150460
1,26,150832
1,27,151699
1,28,152842
1,29,150705
1,30,148735
1,31,147067
2,1,149173
2,2,151766
2,3,152342
2,4,152504
2,5,151192
2,6,149703
2,7,148562
2,8,149333
2,9,151148
2,10,153979
2,11,154553
2,12,154559
2,13,148591
2,14,155928
2,15,150689
2,16,151613
2,17,153400
2,18,154561
2,19,152383
2,20,152243
2,21,149540
2,22,152130
2,23,152126
2,24,154636
2,25,155337
2,26,153307
2,27,150766
2,28,150435
2,29,38473
3,1,151986
3,2,152267
3,3,155675
3,4,154731
3,5,153180
3,6,150904
3,7,151570
3,8,151228
3,9,150203
3,10,153153
3,11,153571
3,12,152616
3,13,148443
3,14,151368
3,15,149753
3,16,150917
3,17,154665
3,18,153475
3,19,152043
3,20,151230
3,21,151797
3,22,149732
3,23,150446
3,24,151710
3,25,153577
3,26,151698
3,27,150206
3,28,150897
3,29,150052
3,30,149903
3,31,151475
4,1,148460
4,2,151993
4,3,149083
4,4,150621
4,5,147283
4,6,149133
4,7,150537
4,8,151550
4,9,149026
4,10,147937
4,11,148253
4,12,147684
4,13,146275
4,14,150463
4,15,151217
4,16,149532
4,17,147255
4,18,148872
4,19,147089
4,20,147327
4,21,149571
4,22,150992
4,23,149154
4,24,146749
4,25,148150
4,26,147471
4,27,146757
4,28,149748
4,29,148713
4,30,148518
5,1,149297
5,2,148600
5,3,147112
5,4,147199
5,5,150872
5,6,151158
5,7,149901
5,8,148473
5,9,148480
5,10,148775
5,11,149617
5,12,151042
5,13,150024
5,14,150290
5,15,150145
5,16,150060
5,17,148722
5,18,150265
5,19,151921
5,20,155087
5,21,151950
5,22,151427
5,23,152291
5,24,150829
5,25,149194
5,26,149559
5,27,152770
5,28,150312
5,29,151405
5,30,147998
5,31,148136
6,1,152825
6,2,154589
6,3,153997
6,4,152328
6,5,151075
6,6,153610
6,7,150399
6,8,150799
6,9,153614
6,10,155853
6,11,153236
6,12,152211
6,13,150387
6,14,152307
6,15,152812
6,16,156223
6,17,156929
6,18,154588
6,19,152992
6,20,155786
6,21,153061
6,22,154337
6,23,156416
6,24,157952
6,25,157354
6,26,155752
6,27,156120
6,28,156526
6,29,157031
6,30,160099
7,1,161583
7,2,161311
7,3,156224
7,4,138838
7,5,151292
7,6,160445
7,7,165904
7,8,166375
7,9,163149
7,10,162087
7,11,160433
7,12,158906
7,13,158632
7,14,164114
7,15,165643
7,16,163679
7,17,161910
7,18,160969
7,19,160033
7,20,162787
7,21,163743
7,22,165545
7,23,163723
7,24,161512
7,25,162098
7,26,160681
7,27,162778
7,28,164983
7,29,165950
7,30,163896
7,31,161885
8,1,162788
8,2,160769
8,3,162577
8,4,163677
8,5,164790
8,6,164095
8,7,163047
8,8,165650
8,9,161449
8,10,163181
8,11,163842
8,12,166383
8,13,162763
8,14,162939
8,15,164161
8,16,162093
8,17,163071
8,18,165419
8,19,165901
8,20,165016
8,21,162865
8,22,162567
8,23,160981
8,24,161868
8,25,163859
8,26,166169
8,27,164601
8,28,163532
8,29,162617
8,30,161481
8,31,162160
9,1,157566
9,2,160413
9,3,160380
9,4,160852
9,5,158538
9,6,159370
9,7,160305
9,8,165568
9,9,169298
9,10,167459
9,11,165251
9,12,166011
9,13,163048
9,14,166927
9,15,168483
9,16,171120
9,17,169466
9,18,168320
9,19,169395
9,20,168495
9,21,169392
9,22,170683
9,23,171064
9,24,169651
9,25,167863
9,26,168592
9,27,166397
9,28,165760
9,29,167545
9,30,167946
10,1,165981
10,2,163433
10,3,162729
10,4,160867
10,5,161385
10,6,161871
10,7,161568
10,8,159938
10,9,158214
10,10,159603
10,11,155677
10,12,156651
10,13,155944
10,14,158557
10,15,157901
10,16,154587
10,17,154817
10,18,152513
10,19,153240
10,20,154974
10,21,156416
10,22,154152
10,23,152200
10,24,152833
10,25,152270
10,26,153565
10,27,154489
10,28,155396
10,29,153219
10,30,152020
10,31,149069
11,1,151831
11,2,151497
11,3,154396
11,4,156167
11,5,154287
11,6,152238
11,7,153464
11,8,152111
11,9,153044
11,10,154616
11,11,155447
11,12,153283
11,13,150837
11,14,153272
11,15,152375
11,16,152935
11,17,155177
11,18,156263
11,19,154889
11,20,153760
11,21,154060
11,22,147497
11,23,149253
11,24,148184
11,25,149329
11,26,146772
11,27,143948
11,28,146989
11,29,149786
11,30,152712
12,1,154983
12,2,155007
12,3,152377
12,4,150494
12,5,151414
12,6,149788
12,7,150361
12,8,153691
12,9,153596
12,10,152826
12,11,151105
12,12,153335
12,13,149615
12,14,153456
12,15,157184
12,16,159205
12,17,158284
12,18,157582
12,19,159132
12,20,155991
12,21,153960
12,22,149334
12,23,143425
12,24,132076
12,25,122862
12,26,139963
12,27,155096
12,28,161394
12,29,163694
12,30,166037
12,31,155376